"K","beta_diff","topics_equal","num_its_deter","num_its"
3,3.51858332292467e-09,"TRUE",12,12
3,2.82138028112379e-09,"TRUE",12,12
3,3.74250555617352e-09,"TRUE",12,12
3,3.52299901172632e-09,"TRUE",12,12
3,2.03241483544242e-09,"TRUE",12,12
3,3.13703787784083e-09,"TRUE",12,12
3,2.12031453556797e-09,"TRUE",12,12
3,2.93235400126057e-09,"TRUE",12,12
3,2.17695137840205e-09,"TRUE",12,12
3,2.27402490466292e-09,"TRUE",12,12
3,3.54305694180123e-09,"TRUE",12,12
3,2.26400960254973e-09,"TRUE",12,12
3,3.89739221559829e-09,"TRUE",12,12
3,1.90689231244661e-09,"TRUE",12,12
3,3.39980378630792e-09,"TRUE",12,12
3,2.05117040094959e-09,"TRUE",12,12
3,3.19593150510685e-09,"TRUE",12,12
3,4.27695549779714e-09,"TRUE",12,12
3,6.27771998022741e-09,"TRUE",12,12
3,8.24811805824746e-09,"TRUE",12,12
3,2.62004603222523e-09,"TRUE",12,12
3,4.25452432373795e-09,"TRUE",12,12
3,3.74714356838309e-09,"TRUE",12,12
3,3.78979458566968e-09,"TRUE",12,12
3,3.41812039356353e-09,"TRUE",12,12
3,6.52050185847268e-09,"TRUE",12,12
3,6.87101377178618e-09,"TRUE",12,12
3,4.04541618095921e-09,"TRUE",12,12
3,2.99017690182086e-09,"TRUE",12,12
3,6.75382263942011e-09,"TRUE",12,12
3,4.25055933249235e-09,"TRUE",12,12
3,2.28193855683881e-09,"TRUE",12,12
3,2.1278755564643e-09,"TRUE",12,12
3,3.12457998909989e-09,"TRUE",12,12
3,2.81515329300554e-09,"TRUE",12,12
3,2.51410297300791e-09,"TRUE",12,12
3,1.93942594095680e-09,"TRUE",12,12
3,6.51315922011034e-09,"TRUE",12,12
3,3.81777457104725e-09,"TRUE",12,12
3,6.60865713185129e-09,"TRUE",12,12
3,4.2463834166798e-09,"TRUE",12,12
3,6.98606812079141e-09,"TRUE",12,12
3,3.2519737703561e-09,"TRUE",12,12
3,3.7339293057156e-09,"TRUE",12,12
3,2.32198881334136e-09,"TRUE",12,12
3,3.58293971465664e-09,"TRUE",12,12
3,6.85451957368449e-09,"TRUE",12,12
3,8.56318157872626e-09,"TRUE",12,12
3,3.37885173095428e-09,"TRUE",12,12
3,6.44443194061324e-09,"TRUE",12,12
4,7.4899402403128e-08,"TRUE",21,21
4,6.56509527149147e-09,"TRUE",21,21
4,7.35998482616406e-08,"TRUE",21,21
4,4.0901473434662e-09,"TRUE",21,21
4,7.4602444590977e-08,"TRUE",21,21
4,1.7542595165678e-09,"TRUE",21,21
4,5.75854799204174e-09,"TRUE",21,21
4,2.06741645287987e-09,"TRUE",21,21
4,8.04523261045485e-09,"TRUE",21,21
4,4.25416044519282e-09,"TRUE",21,21
4,7.35617343959821e-08,"TRUE",21,21
4,7.36089625555964e-08,"TRUE",21,21
4,4.96850854931572e-09,"TRUE",21,21
4,2.87741664540793e-09,"TRUE",21,21
4,1.00875892564816e-08,"TRUE",21,21
4,2.60645088143438e-09,"TRUE",21,21
4,4.65078745206133e-09,"TRUE",21,21
4,8.07089007228128e-09,"TRUE",21,21
